id,question,slug,start_date,end_date,volume,liquidity,active,closed,yes_percentage,no_percentage,outcome_details,total_volume,total_liquidity,end_date_iso,volume_24hr,spread,one_day_price_change,last_trade_price,bestBid,bestAsk
239867,Will Sequoia Capital's Youtube memo sell for more than 25 ETH?,will-sequoia-capitals-youtube-memo-sell-for-more-than-25-eth,,,,,True,True,99.99999019745687,9.802543130713752e-06,Yes: 100.00% | No: 0.00%,9679.54,237.23,2021-12-07,0,1,0,0,0,1
239911,"Will the floor price of CryptoPunks be above 55 ETH on December 23, 2021?",will-the-floor-price-of-cryptopunks-be-above-55-eth-on-december-23-2021,,,,,True,True,1.3101627060081576e-05,99.99998689837294,Yes: 0.00% | No: 100.00%,278291.68,334.65,2021-12-23,0,1,0,0,0,1
239912,"Will the floor price of CryptoPunks be above 69 ETH on December 23, 2021?",will-the-floor-price-of-cryptopunks-be-above-69-eth-on-december-23-2021,,,,,True,True,8.979006936087233e-05,99.99991020993065,Yes: 0.00% | No: 100.00%,360322.07,95.46,2021-12-23,0,1,0,0,0,1
239913,"Will the floor price of CryptoPunks be above 75 ETH on December 23, 2021?",will-the-floor-price-of-cryptopunks-be-above-75-eth-on-december-23-2021,,,,,True,True,6.845283117790932e-05,99.99993154716881,Yes: 0.00% | No: 100.00%,224134.54,80.65,2021-12-23,0,1,0,0,0,1
239914,"Will the floor price of CryptoPunks be above 90 ETH on December 23, 2021?",will-the-floor-price-of-cryptopunks-be-above-90-eth-on-december-23-2021,,,,,True,True,7.757161879118776e-05,99.99992242838121,Yes: 0.00% | No: 100.00%,439684.51,100.76,2021-12-23,0,1,0,0,0,1
240032,"Will $ETH (Ethereum) be above $4,000 on December 23, 12pm ET?",will-eth-ethereum-be-above-4000-on-december-23-12pm-et,,,,,True,True,7.958719986389697e-05,99.99992041280014,Yes: 0.00% | No: 100.00%,66823.67,51.87,2021-12-23,0,1,0,0,0,1
240040,"Will the floor price of Bored Apes be above 48 ETH on December 22, 2021?",will-the-floor-price-of-bored-apes-be-above-48-eth-on-december-22-2021,,,,,True,True,99.99996544816841,3.455183158662274e-05,Yes: 100.00% | No: 0.00%,19848.78,565.24,2021-12-22,0,1,0,0,0,1
240041,"Will the floor price of Bored Apes be above 50 ETH on December 22, 2021?",will-the-floor-price-of-bored-apes-be-above-50-eth-on-december-22-2021,,,,,True,True,99.9999782159565,2.1784043495403595e-05,Yes: 100.00% | No: 0.00%,37864.48,243.63,2021-12-22,0,1,0,0,0,1
240042,"Will the floor price of Bored Apes be above 54 ETH on December 22, 2021?",will-the-floor-price-of-bored-apes-be-above-54-eth-on-december-22-2021,,,,,True,True,1.3519003173895505e-05,99.99998648099682,Yes: 0.00% | No: 100.00%,8009.73,353.96,2021-12-22,0,1,0,0,0,1
240197,Will the floor price of CryptoPunks be above 55 ETH on January 13?,will-the-floor-price-of-cryptopunks-be-above-55-eth-on-january-13,,,,,True,True,99.999983556298,1.644370200007957e-05,Yes: 100.00% | No: 0.00%,5766.95,1519.31,2022-01-13,0,1,0,0,0,1
240198,Will the floor price of CryptoPunks be above 69 ETH on January 13?,will-the-floor-price-of-cryptopunks-be-above-69-eth-on-january-13,,,,,True,True,1.5137042495735688e-05,99.9999848629575,Yes: 0.00% | No: 100.00%,22477.12,0,2022-01-13,0,1,0,0,0,1
240199,Will the floor price of CryptoPunks be above 75 ETH on January 13?,will-the-floor-price-of-cryptopunks-be-above-75-eth-on-january-13,,,,,True,True,1.64766056821759e-05,99.99998352339432,Yes: 0.00% | No: 100.00%,10374.8,0,2022-01-13,0,1,0,0,0,1
240200,Will the floor price of Bored Apes be above 53 ETH on January 14?,will-the-floor-price-of-bored-apes-be-above-53-eth-on-january-14,,,,,True,True,99.99998388802359,1.6111976410796534e-05,Yes: 100.00% | No: 0.00%,9107.83,1824.8,2022-01-14,0,1,0,0,0,1
240201,Will the floor price of Bored Apes be above 59 ETH on January 14?,will-the-floor-price-of-bored-apes-be-above-59-eth-on-january-14,,,,,True,True,99.99998350428727,1.6495712729493663e-05,Yes: 100.00% | No: 0.00%,21581.15,2617.1,2022-01-14,0,1,0,0,0,1
240202,Will the floor price of Bored Apes be above 65 ETH on January 14?,will-the-floor-price-of-bored-apes-be-above-65-eth-on-january-14,,,,,True,True,99.99987937479008,0.00012062520990691413,Yes: 100.00% | No: 0.00%,22820.58,36.84,2022-01-14,0,1,0,0,0,1
240204,Will the floor price of Mutant Apes be above 7 ETH on January 12?,will-the-floor-price-of-mutant-apes-be-above-7-eth-on-january-12,,,,,True,True,99.99998364760808,1.635239191340134e-05,Yes: 100.00% | No: 0.00%,8738.8,998.87,2022-01-12,0,1,0,0,0,1
240205,Will the floor price of Mutant Apes be above 10 ETH on January 12?,will-the-floor-price-of-mutant-apes-be-above-10-eth-on-january-12,,,,,True,True,99.99998359759675,1.6402403249434654e-05,Yes: 100.00% | No: 0.00%,24903.38,1000.24,2022-01-12,0,1,0,0,0,1
240207,Will the floor price of Mutant Apes be above 13 ETH on January 12?,will-the-floor-price-of-mutant-apes-be-above-13-eth-on-january-12,,,,,True,True,99.99998344666677,1.6553333231741814e-05,Yes: 100.00% | No: 0.00%,78581.88,1115.35,2022-01-12,0,1,0,0,0,1
